# Voids catalog for voids_BOSS_lowz_dr12v4_sgc_Om0.3_dt0.5
# [1] VoidID, [2] Center RA (deg), [3] Center Dec (deg), [4] Center Redshift, [5] Number of Galaxies, [6] Total Voronoi Volume (Mpc^3/h^3), [7] Effective Radius (Mpc/h), [8] Core Number Density (h^3/Mpc^3), [9] Core Density Contrast, [10] Void Density Contrast, [11] Probability [12] Distance from Center to Edge 
4653	350.894	21.568	0.342	16524	6.306e+07	246.915	1.589e-05	-0.934	4.510	3.180e-20	173.682
3284	332.562	21.087	0.381	1107	3.954e+06	98.092	2.151e-05	-0.890	3.240	4.930e-09	88.241
5589	2.482	23.356	0.351	5371	2.067e+07	170.261	2.036e-05	-0.940	3.150	1.810e-08	158.719
5789	5.575	29.235	0.292	636	2.057e+06	78.899	2.330e-05	-0.917	3.042	7.830e-08	65.494
4501	346.370	14.684	0.315	326	9.163e+05	60.254	3.326e-05	-0.885	2.830	1.100e-06	186.512
3362	337.565	10.019	0.362	1324	5.388e+06	108.757	2.422e-05	-0.920	2.701	4.760e-06	138.634
5686	349.211	21.548	0.222	376	1.010e+06	62.238	2.653e-05	-0.922	2.604	1.340e-05	59.909
6581	31.601	-4.318	0.387	1396	4.586e+06	103.063	2.858e-05	-0.854	2.517	3.240e-05	67.373
5547	11.133	19.696	0.337	1917	7.213e+06	119.861	2.535e-05	-0.922	2.458	5.720e-05	201.142
7599	321.468	2.116	0.379	103	3.110e+05	42.028	3.866e-05	-0.856	2.450	6.210e-05	59.634
4325	359.116	6.182	0.386	1978	7.846e+06	123.270	3.020e-05	-0.851	2.449	6.290e-05	105.450
3713	24.360	21.240	0.368	2031	7.895e+06	123.523	3.062e-05	-0.844	2.407	9.270e-05	123.320
4775	7.187	10.434	0.276	3269	1.099e+07	137.903	3.094e-05	-0.903	2.378	1.210e-04	115.654
1998	15.754	-2.615	0.334	111	2.318e+05	38.110	5.784e-05	-0.830	2.337	1.750e-04	54.255
3372	338.238	9.336	0.400	68	1.656e+05	34.064	5.044e-05	-0.728	2.336	1.770e-04	73.151
4803	351.496	15.226	0.244	239	7.874e+05	57.284	4.005e-05	-0.876	2.298	2.480e-04	89.385
7545	40.640	-4.855	0.263	203	3.077e+05	41.881	7.364e-05	-0.759	2.285	2.760e-04	52.660
5820	349.816	32.205	0.402	58	1.322e+05	31.604	3.741e-05	-0.798	2.282	2.840e-04	50.380
7505	44.120	-7.483	0.293	37	5.135e+04	23.058	1.022e-04	-0.633	2.281	2.860e-04	38.367
5548	28.001	28.905	0.396	229	8.167e+05	57.987	3.364e-05	-0.818	2.258	3.480e-04	79.934
2628	16.985	-2.106	0.361	222	5.522e+05	50.895	4.079e-05	-0.846	2.232	4.330e-04	52.097
4766	338.501	21.713	0.348	627	2.600e+06	85.302	3.032e-05	-0.897	2.222	4.700e-04	173.261
5815	344.587	29.799	0.397	318	1.023e+06	62.515	3.177e-05	-0.838	2.200	5.650e-04	75.746
2591	36.102	-4.351	0.390	631	2.348e+06	82.449	3.115e-05	-0.841	2.186	6.370e-04	57.833
1731	25.177	11.349	0.252	90	1.593e+05	33.628	7.973e-05	-0.776	2.146	8.780e-04	56.913
590	326.176	1.035	0.252	174	2.970e+05	41.388	5.353e-05	-0.833	2.100	1.260e-03	52.888
789	33.205	0.699	0.328	136	2.822e+05	40.689	5.116e-05	-0.830	2.099	1.270e-03	43.265
5735	17.570	33.091	0.406	41	6.444e+04	24.871	6.766e-05	-0.590	2.085	1.420e-03	46.260
7563	43.330	-7.013	0.409	25	6.198e+04	24.550	7.898e-05	-0.573	2.070	1.590e-03	48.610
3747	22.992	20.236	0.299	698	2.673e+06	86.092	3.820e-05	-0.878	2.069	1.590e-03	118.326
1268	339.772	4.107	0.220	285	4.741e+05	48.373	7.055e-05	-0.802	2.060	1.720e-03	55.770
5746	22.803	29.092	0.317	326	9.629e+05	61.258	4.099e-05	-0.863	2.057	1.750e-03	86.307
5639	10.978	27.261	0.389	406	1.566e+06	72.040	3.520e-05	-0.848	2.055	1.770e-03	100.158
6334	8.797	11.149	0.279	2701	9.155e+06	129.776	3.423e-05	-0.877	2.049	1.860e-03	133.230
6347	347.522	13.714	0.383	997	4.608e+06	103.227	2.860e-05	-0.846	2.033	2.100e-03	113.960
490	344.624	0.948	0.410	33	5.561e+04	23.679	7.765e-05	-0.530	2.026	2.210e-03	42.765
573	342.839	-0.346	0.235	42	3.918e+04	21.070	1.196e-04	-0.698	2.024	2.240e-03	37.068
6407	5.678	-2.705	0.240	289	4.842e+05	48.713	4.746e-05	-0.853	2.005	2.600e-03	50.846
3858	333.850	23.415	0.277	793	2.465e+06	83.802	3.596e-05	-0.889	1.996	2.760e-03	89.115
5752	28.668	29.458	0.270	111	2.483e+05	38.989	5.289e-05	-0.828	1.992	2.850e-03	48.566
1286	0.836	1.905	0.224	336	5.496e+05	50.813	5.978e-05	-0.842	1.988	2.920e-03	42.506
1710	25.084	11.225	0.373	663	1.908e+06	76.942	3.857e-05	-0.810	1.965	3.480e-03	83.745
